block_id_1,block_id_2
100063,100043
100213,100193
100283,100273
100333,100313
100203,100183
100373,100348
100403,100348
100403,100373
100358,100313
100358,100333
100358,100348
100468,100403
100468,100348
100468,100373
100478,100468
100478,100333
100478,100313
100478,100358
1000210,100138
1000710,1000210
1000710,100138
1001110,1000210
1001110,100138
1001610,100468
1001110,1000710
1001610,1000529
1001710,1001610
1001610,1000629
1001710,100478
1001710,100313
1001710,1000718
1001610,100403
1001610,100348
1001610,100373
1001710,100333
1001710,100358
1001710,1000232
1001610,100358
1001510,100338
1001710,1000526
1001710,1000614
1001710,100348
1001710,1000318
1001710,1000536
1000214,100025
1000014,100005
1000614,100333
1000114,100015
1000614,100478
1000614,100313
1000614,100358
1000614,1000526
1000614,1000318
1000318,100333
1000614,1000536
1000718,100313
1000614,1000232
1000318,100313
1000318,100478
1000718,100333
1000318,100358
1000318,1000232
1000718,100478
1000718,1000614
1000718,100358
1000718,1000526
1000718,1000318
1000622,1000522
1000718,1000536
1000718,1000232
1000222,1000026
1000823,1000523
1001323,1001123
1001523,1001323
1001423,1001223
1001523,1001123
1001623,1001223
1001623,1001423
1001623,1001023
1001923,1001323
1001723,1001323
1001923,1001723
1001723,1001123
1001923,1001523
1001723,1001523
1001423,1001023
1001823,1001623
1001823,1001223
1002123,1001323
1002123,1001723
1002223,1001623
1002123,1001923
1001823,1001423
1001823,1001023
1002123,1001123
1002223,1002023
1002423,1001623
1002523,1001323
1002223,1001023
1002523,1001723
1002423,1001423
1002423,1001823
1002423,1002023
1002023,1001223
1002523,1001923
1002523,1001523
1001923,1001123
1002423,1002223
1002523,1001123
1002523,1002123
1002223,1001423
1002123,1001523
1002223,1001223
1002423,1001223
1002023,1001623
1001223,1001023
1002523,1002323
1002323,1001123
1002323,1001323
1002223,1001823
1002423,1001023
1002023,1001823
1002323,1001723
1002723,1001123
1002023,1001423
1002323,1001923
1002723,1001323
1002623,1001223
1002323,1001523
1002723,1001723
1002023,1001023
1002623,1001623
1002723,1001923
1002323,1002123
1002623,1001823
1002723,1001523
1002623,1001423
1002923,1001123
1002823,1001223
1002923,1001723
1002823,1001623
1002723,1002323
1002623,1002023
1002623,1002223
1002823,1001823
1002923,1001923
1002623,1002423
1002923,1001323
1002723,1002523
1002723,1002123
1002923,1001523
1002923,1002123
1003423,1001023
1002623,1001023
1003423,1001223
1002923,1002323
1003423,1001623
1002923,1002523
1003123,1001123
