,clones,len
0,"[100101, 100131]",2
1,"[100013, 100015, 100016]",3
2,"[100087, 100127, 100177, 100327]",4
3,"[100137, 100207, 100217, 100247, 100277, 100347]",6
4,"[100167, 100197, 100227, 100287, 100307, 100317]",6
5,"[100097, 100257]",2
6,"[100147, 100237, 100267, 100297, 100337]",5
7,"[100099, 100189]",2
8,"[100109, 100159]",2
9,"[100119, 100169]",2
10,"[1000025, 1000040, 1000042, 1000044, 1000061, 1000065, 1000067, 1000112, 1000136, 1000293, 1000932, 1001036, 1001236, 1001832, 1002732, 10000173, 10000238, 10000387, 10003276, 10005170, 10008466, 100011668]",22
11,"[1000110, 1000210, 10001203]",3
12,"[100007, 1000816]",2
13,"[100027, 1000416, 100011693]",3
14,"[1000430, 1000630, 1000830, 1001330]",4
15,"[1000430, 1000630, 1000830, 1001130]",4
16,"[1000430, 1000630, 1000830, 1001530]",4
17,"[1000330, 1000930, 10005446, 10011328, 10015167, 10030167, 100012178]",7
18,"[1000430, 1001130, 1001330, 1001530]",4
19,"[1000730, 1001430]",2
20,"[1000530, 1001230, 100091634]",3
21,"[1000530, 1001230]",2
22,"[1000830, 1001130, 1001330, 1001530]",4
23,"[1001830, 1001930]",2
24,"[1000630, 1001130, 1001330, 1001530]",4
25,"[1000230, 1001030]",2
26,"[1001630, 1001730]",2
27,"[1000032, 1000034, 1000035, 1000046, 1000049, 1000132, 1000146, 1000152, 1000631, 10001178]",10
28,"[1000149, 1000235, 1000252, 1000532, 1000731, 1000732, 1000746, 1000846, 10002178]",9
29,"[1000432, 1000632]",2
30,"[1000536, 1001032]",2
31,"[1000332, 1001432, 1001532]",3
32,"[1001232, 1002032]",2
33,"[1000836, 1001932]",2
34,"[1001332, 1002232]",2
35,"[1001632, 1002532]",2
36,"[1001732, 1002632]",2
37,"[1001132, 1002132]",2
38,"[1000135, 1000535]",2
39,"[1000036, 1000736]",2
40,"[1000336, 1001636, 1002036, 1002336, 1002736]",5
41,"[1001136, 1001336, 1002832]",3
42,"[1000236, 1001836, 1002136, 1002536, 1002836, 1003036]",6
43,"[1000936, 1002936]",2
44,"[1001736, 1001936, 1002436]",3
45,"[1000053, 1000099, 1000153, 1000253, 1000299, 1000353, 1000453, 1000499, 1000699, 10000111, 10000141, 10000147, 10000163, 10000286, 10000297, 10002163, 10002297, 10005297, 10008297, 10018417, 10021417, 10051418, 100001236, 100001299, 100001463, 100001476, 100001488, 100001577, 100001735, 100001835, 100001886, 100002039, 100002093, 100002162, 100011137, 100011156, 100011995, 100012137, 100012162, 100021236, 100021368, 100021448, 100021463, 100021488, 100021556, 100031299, 100031469, 100031788, 100032039, 100041156, 100041236, 100041448, 100041463, 100041488, 100041556, 100041995, 100051368, 100051788, 100061236, 100061488, 100061556, 100071156, 100071299, 100071463, 100071788, 100081236, 100081368, 100101236, 100101463, 100121236, 100141236, 100161236, 100181236]",73
46,"[1000056, 1000156, 1000256, 1000356]",4
47,"[1000358, 1000458, 10006319]",3
48,"[1000173, 1000260]",2
49,"[1000960, 1001060]",2
50,"[1000066, 1000266, 1001066, 1001366]",4
51,"[1000166, 1000366, 1001166, 1001466]",4
52,"[1000466, 1001266, 1001566]",3
53,"[1001160, 1001770, 1002070, 1002170, 1002670, 1002770, 1002870, 1003170]",8
54,"[1001160, 1001770, 1002070, 1003170]",4
55,"[1001670, 1001870, 1002270, 1002570, 1003070]",5
56,"[1001670, 1001870, 1001970, 1002270, 1002570, 1003070]",6
57,"[1001670, 1001870, 1001970, 1002270, 1002370, 1002470, 1003070]",7
58,"[1001770, 1002070, 1002170, 1002770, 1002870, 1002970, 1003170]",7
59,"[1001670, 1001870, 1001970, 1002370, 1002470, 1002570, 1003070]",7
60,"[1001670, 1001970, 1002270, 1002570, 1003070]",5
61,"[1001870, 1001970, 1002370, 1002470]",4
62,"[1001770, 1002070, 1002170, 1002770, 1002870, 1003170]",6
63,"[1001770, 1002070, 1002670, 1002970, 1003170]",5
64,"[1002170, 1002670, 1002970]",3
65,"[1000970, 1001270]",2
66,"[1000270, 1004070]",2
67,"[1000370, 1004170]",2
68,"[1000060, 1000073]",2
69,"[1004270, 1004370]",2
70,"[1000075, 1000175]",2
71,"[1000375, 1000497, 1000575, 10013387]",4
72,"[1000475, 1000875, 1001175]",3
73,"[1000773, 1000873]",2
74,"[1000690, 1001190]",2
75,"[100037, 1000797]",2
76,"[1000199, 1000399, 1000599, 1000799, 10001163, 10003163]",6
77,"[1000351, 10000102, 10001161, 10004236, 10004274, 10005274, 10015236]",7
78,"[10007103, 10009103]",2
79,"[1001690, 10023103]",2
80,"[1002290, 10019103, 10022103]",3
81,"[1002290, 10022103]",2
82,"[1001490, 10020103]",2
83,"[1001590, 10021103]",2
84,"[1001990, 10027103]",2
85,"[10019103, 10022103]",2
86,"[1001890, 10026103]",2
87,"[1001790, 10025103]",2
88,"[1000077, 10001110, 100001819]",3
89,"[1000096, 10000113, 10000114]",3
90,"[10000108, 10002113]",2
91,"[10002310, 10004113]",2
